Date,High Temperature,Low Temperature,Precipitation Probability,Real Feel,UV Index,Wind Speed
2024-07-28,23,19,98,26,5,7
2024-07-29,22,19,99,26,5,7
2024-07-30,25,19,90,29,6,7
2024-07-31,22,19,80,28,10,7
2024-08-01,24,19,96,29,7,7
2024-08-02,24,18,66,29,7,9
2024-08-03,22,18,60,27,7,7
2024-08-04,22,18,67,27,8,2
2024-08-05,22,18,67,27,10,2
2024-08-06,22,18,62,27,12,4
2024-08-07,22,18,60,26,9,2
2024-08-08,22,19,67,28,6,2
2024-08-09,21,20,69,25,4,4
2024-08-10,22,20,58,28,6,4
2024-08-11,23,19,60,28,4,2
2024-08-12,23,20,60,28,6,2
2024-08-13,22,20,56,28,4,2
2024-08-14,23,19,60,27,4,4
2024-08-15,23,20,55,29,12,2
2024-08-16,22,20,55,29,8,2
2024-08-17,23,20,60,29,13,4
2024-08-18,23,20,58,30,13,2
2024-08-19,23,20,56,28,4,4
2024-08-20,23,20,55,28,5,4
2024-08-21,23,20,56,29,9,4
2024-08-22,22,20,72,27,4,4
2024-08-23,23,19,60,28,4,4
2024-08-24,23,19,65,27,4,4
2024-08-25,22,20,59,26,4,7
2024-08-26,23,20,78,27,4,6
2024-08-27,22,20,59,26,3,9
2024-08-28,23,20,67,28,3,6
2024-08-29,23,20,55,27,3,7
2024-08-30,22,20,59,28,4,4
2024-08-31,23,20,60,29,5,4
2024-09-01,23,20,72,27,3,4
2024-09-02,22,20,70,26,3,4
2024-09-03,23,19,60,28,3,4
2024-09-04,22,20,66,27,3,4
2024-09-05,21,20,67,25,3,4
2024-09-06,21,19,60,25,3,7
2024-09-07,22,20,66,26,3,7
2024-09-08,22,20,70,26,3,7
2024-09-09,22,19,60,26,7,11
